,listing_id,address,no_rooms,price,property_types,property_link,reduced/added,date_reduced/added,no_pictures,latitude,longitude,agent_name,agent_number,most_recent_scrape_date,initial_scrape_date
98,67822462,"Ivychurch Lane, London",3,"£350,000", flat,https://www.rightmove.co.uk//property-for-sale/property-67822462.html,Reduced ,2019-03-01 00:00:00,8,51.48836,-0.07846,"Barnard Marcus, Peckham",020 8012 6707,22/02/2019,21/02/2019
99,74065127,Snowsfields London Bridge SE1,1,"£460,000", flat,https://www.rightmove.co.uk//property-for-sale/property-74065127.html,Reduced ,2019-02-01 00:00:00,7,51.50248,-0.0849,"Acorn, London Bridge",020 8012 2625,22/02/2019,21/02/2019
100,69236911,"Newington Causeway, Elephant and Castle",1,"£405,000", flat,https://www.rightmove.co.uk//property-for-sale/property-69236911.html,Added ,2019-02-01 00:00:00,8,51.496105,-0.099275,"Dexters, London Bridge",020 7650 5100,22/02/2019,21/02/2019
101,78134216,"Rephidim Street, London",1,"£365,000", flat,https://www.rightmove.co.uk//property-for-sale/property-78134216.html,Added ,2018-12-26 00:00:00,15,51.495338,-0.085907,"YOPA, London",01620 694026,22/02/2019,21/02/2019
102,59130201,"Eveline Lowe Estate, LONDON",2,"£375,000", flat,https://www.rightmove.co.uk//property-for-sale/property-59130201.html,Added ,2018-12-26 00:00:00,9,51.49355,-0.06838,"Barnard Marcus, Peckham",020 8012 6707,22/02/2019,21/02/2019
103,77640203,"Congreve Street, London",1,"£330,000", flat,https://www.rightmove.co.uk//property-for-sale/property-77640203.html,Reduced ,2018-12-26 00:00:00,7,51.49166,-0.08502,"Barnard Marcus, Kennington",020 8012 2049,22/02/2019,21/02/2019
104,59117634,"Congreve Street, Elephant & Castle, SE17",2,"£400,000", maisonett,https://www.rightmove.co.uk//property-for-sale/property-59117634.html,Added ,2018-12-26 00:00:00,12,51.490427,-0.082399,"Purplebricks, covering London",0121 396 0233,22/02/2019,21/02/2019
105,69125653,"Lant Street, Borough",1,"£500,000", flat,https://www.rightmove.co.uk//property-for-sale/property-69125653.html,Added ,2018-12-21 00:00:00,7,51.501144,-0.095564,"Dexters, London Bridge",020 7650 5100,22/02/2019,21/02/2019
106,59029404,"Darwin Street, Elephant & Castle",1,"£450,000", flat,https://www.rightmove.co.uk//property-for-sale/property-59029404.html,Added ,2018-12-21 00:00:00,9,51.49297,-0.08602,"Kinleigh Folkard & Hayward - Sales, Kennington",020 8012 2756,22/02/2019,21/02/2019
107,69725809,"Concorde Way, Rotherhithe, SE16",1,"£395,000", flat,https://www.rightmove.co.uk//property-for-sale/property-69725809.html,Added ,2018-12-21 00:00:00,7,51.490082,-0.04715,"Foxtons, London Bridge",020 8012 6757,22/02/2019,21/02/2019
108,78009965,Varcoe Road London SE16,1,"£300,000", flat,https://www.rightmove.co.uk//property-for-sale/property-78009965.html,Added ,2018-12-19 00:00:00,8,51.48509,-0.05567,"Acorn, London Bridge",020 8012 2625,22/02/2019,21/02/2019
109,78007451,Townsend Street London SE17,1,"£390,000", flat,https://www.rightmove.co.uk//property-for-sale/property-78007451.html,Added ,2018-12-19 00:00:00,9,51.49241,-0.08475,"Acorn, London Bridge",020 8012 2625,22/02/2019,21/02/2019
110,70169761,"Purbrook Estate, Tower Bridge",1,"£360,000", flat,https://www.rightmove.co.uk//property-for-sale/property-70169761.html,Reduced ,2018-12-17 00:00:00,6,51.498919,-0.079,"Dexters, London Bridge",020 7650 5100,22/02/2019,21/02/2019
111,77948345,"St. Helena Road, London, SE16 2QU",1,"£259,950", flat,https://www.rightmove.co.uk//property-for-sale/property-77948345.html,Added ,2018-12-17 00:00:00,6,51.49053,-0.04737,"Hunters, Surrey Quays",020 8012 4439,22/02/2019,21/02/2019
112,77948075,Wordsworth Road London SE1,1,"£350,000", flat,https://www.rightmove.co.uk//property-for-sale/property-77948075.html,Added ,2018-12-17 00:00:00,8,51.49054,-0.07503,"Acorn, London Bridge",020 8012 2625,22/02/2019,21/02/2019
113,68233138,"Lewes House, Bermondsey SE1",2,"£475,000", flat,https://www.rightmove.co.uk//property-for-sale/property-68233138.html,Reduced ,2018-12-13 00:00:00,7,51.502603,-0.080329,"Alex Neil Estate Agents, South East London - Sales",020 8012 0319,22/02/2019,21/02/2019
114,58253208,"Bolanachi Building, Spa Road, London, SE16",1,"£420,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-58253208.html,Reduced ,2018-12-12 00:00:00,13,51.496116,-0.070416,"MyLondonHome, Central London",020 8012 4974,22/02/2019,21/02/2019
115,77707793,"Otford House, Staple Street, London, SE1",2,"£400,000", flat,https://www.rightmove.co.uk//property-for-sale/property-77707793.html,Reduced ,2018-07-12 00:00:00,7,51.499004,-0.087886,"Stirling Ackroyd, London Bridge",020 8012 2405,22/02/2019,21/02/2019
